,date,newspaper,circulation
0,07.01.2019,SABAH,274.631
1,07.01.2019,HÜRRİYET,258.178
2,07.01.2019,SÖZCÜ,251.476
3,07.01.2019,POSTA,192.729
4,07.01.2019,TÜRKİYE,132.87
5,07.01.2019,MİLLİYET,128.627
6,07.01.2019,YENİ ŞAFAK,110.045
7,07.01.2019,TAKVİM,105.948
8,07.01.2019,GÜNEŞ,103.31700000000001
9,07.01.2019,AKŞAM,103.28
10,07.01.2019,STAR,100.874
11,07.01.2019,P.FOTOMAÇ,80.97
12,07.01.2019,FANATİK,75.429
13,07.01.2019,KORKUSUZ,53.67
14,07.01.2019,AYDINLIK,51.361999999999995
15,07.01.2019,YENİ ASIR,50.942
16,07.01.2019,YENİ AKİT,50.463
17,07.01.2019,CUMHURİYET,32.169000000000004
18,07.01.2019,DOĞRU HABER,14.35
19,07.01.2019,KARAR,11.039000000000001
20,14.01.2019,SABAH,274.209
21,14.01.2019,HÜRRİYET,262.306
22,14.01.2019,SÖZCÜ,250.74200000000002
23,14.01.2019,POSTA,189.082
24,14.01.2019,TÜRKİYE,133.798
25,14.01.2019,MİLLİYET,128.787
26,14.01.2019,YENİ ŞAFAK,109.931
27,14.01.2019,TAKVİM,106.146
28,14.01.2019,GÜNEŞ,103.369
29,14.01.2019,AKŞAM,102.602
30,14.01.2019,STAR,100.749
31,14.01.2019,P.FOTOMAÇ,79.706
32,14.01.2019,FANATİK,77.811
33,14.01.2019,KORKUSUZ,54.542
34,14.01.2019,AYDINLIK,51.608999999999995
35,14.01.2019,YENİ ASIR,51.272
36,14.01.2019,YENİ AKİT,50.596000000000004
37,14.01.2019,CUMHURİYET,31.173000000000002
38,14.01.2019,DOĞRU HABER,14.364
39,14.01.2019,KARAR,11.06
40,21.01.2019,SABAH,274.277
41,21.01.2019,HÜRRİYET,253.084
42,21.01.2019,SÖZCÜ,249.39700000000002
43,21.01.2019,POSTA,184.58900000000003
44,21.01.2019,TÜRKİYE,133.976
45,21.01.2019,MİLLİYET,126.715
46,21.01.2019,YENİ ŞAFAK,109.89
47,21.01.2019,TAKVİM,105.807
48,21.01.2019,GÜNEŞ,103.211
49,21.01.2019,AKŞAM,102.465
50,21.01.2019,STAR,100.697
51,21.01.2019,P.FOTOMAÇ,82.22200000000001
52,21.01.2019,FANATİK,79.118
53,21.01.2019,KORKUSUZ,53.347
54,21.01.2019,YENİ ASIR,51.275
55,21.01.2019,YENİ AKİT,51.236000000000004
56,21.01.2019,AYDINLIK,50.73
57,21.01.2019,CUMHURİYET,31.43
58,21.01.2019,DOĞRU HABER,14.357000000000001
59,21.01.2019,KARAR,11.133
60,28.01.2019,SABAH,275.247
61,28.01.2019,HÜRRİYET,253.74099999999999
62,28.01.2019,SÖZCÜ,247.547
63,28.01.2019,POSTA,187.166
64,28.01.2019,TÜRKİYE,134.487
65,28.01.2019,MİLLİYET,126.689
66,28.01.2019,YENİ ŞAFAK,110.10799999999999
67,28.01.2019,TAKVİM,106.493
68,28.01.2019,GÜNEŞ,103.32
69,28.01.2019,AKŞAM,102.844
70,28.01.2019,STAR,101.006
71,28.01.2019,P.FOTOMAÇ,84.791
72,28.01.2019,FANATİK,80.98100000000001
73,28.01.2019,KORKUSUZ,53.714
74,28.01.2019,YENİ ASIR,51.341
75,28.01.2019,YENİ AKİT,51.18899999999999
76,28.01.2019,AYDINLIK,50.475
77,28.01.2019,CUMHURİYET,29.546999999999997
